NOFOLIO,ENTIDAD,CCT,GENERO,NOMBRE_CT                                                                                               ,N_TURNO,EXTENSION,NOMBRE_MUN,NOMBRE_LOC,MARGINA,SOST,SUBSIST,NVL_ESP,NVL_MAT,
130000001B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,8,
130000002B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000003B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,8,IV,
130000004B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000005B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000006B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,III,
130000008B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,III,
130000009B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000010B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,I,
130000011B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000012B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,8,I,
130000013B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000014B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000015B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000016B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000017B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,I,I,
